LEI_Code,0W2PZJM8XOY22M4GG883,2138008AVF4W7FMW8W87,2138009Y59EAR7H1UO97,213800DBQIB6VBNU5C64,213800HDJ876ACJXXD05,213800TC9PZRBHMJW403,213800X3Q9LSAKRUWY91,222100K6QL2V4MLHWQ08,254900RNFMDM0P11YR84,2W8N8UU78PMDQKZENC08,391200EEGLNXBBCVKC73,3H0Q3U74FVFED2SHZT16,3M5E1GQGKL17HI6CPN30,485100FX5Y9YLAQLNP12,5299007QVIQ7IO64NX37,529900GGYMNGRQTDOO93,529900HEKOENJHPNN480,529900HNOAA1KXQJUQ27,529900JG015JC10LED24,529900JZTYE3W7WQH904,529900ODI3047E2LIV03,529900OE1FOAM50XLP72,529900RWC8ZYB066JF16,529900S9YO2JHTIIDG38,529900SSGT49ZZSWYE62,529900SXEWPJ1MRRX537,529900V3O1M5IHMOSF46,529900W3MOO00A18X956,529900XSTAE561178282,5493000LKS7B3UTF7H35,5493001BABFV7P27OW30,54930056IRBXK0Q1FP96,5493006QMFDDMYWIAM13,5493007SJLLCTM6J6M37,5493008QOCP58OLEN998,5493009EIBTCB1X12G89,549300C6TUMDXNOVXS82,549300C9KPZR0VZ16R05,549300DYPOFMXOR7XM56,549300GKFG0RYRRQ1414,549300HFEHJOXGE4ZE63,549300L7YCATGO57ZE10,549300NYKK9MWM7GGW15,549300OLBL49CW8CT155,549300Q3OIWRHQUQM052,549300RG3H390KEL8896,549300TK038P6EV4YU51,549300TRUWO2CD2G5692,549300U4LIZV0REEQQ46,5UMCZOEYKCVFAW8ZLO05,635400AKJBGNS5WNQL34,635400C8EK6DRI12LJ39,635400L14KNHZXPUZM19,724500A1FNICHSDF2I11,724500JIWG886A9RRT57,7437003B5WFBOIEFY714,7CUNS533WID6K7DGFI87,7LTWFZYICNSX8D621K86,7LVZJ6XRIE7VNZ4UBX81,7V6Z97IO7R1SEAO84Q32,815600AD83B2B6317788,815600E4E6DCD2D25E30,851WYGNLUQLFZBSYGB56,95980020140005881190,96950001WI712W7PQG45,9695000CG7B84NLR5984,96950066U5XAAIRCPA78,969500STN7T9MRUMJ267,9CZ7TVMR36CYD5TZBS50,9ZHRYM6F437SQJ6OUG95,A5GWLFH3KM7YV2SFQL84,AT0000000000043000VB,B81CK4ESI35472RHJ606,BFXS5XCH7N0Y05NIXW11,DG3RU1DBUFHT4ZF9WN62,DIZES5CFO5K3I5R58746,DSNHHQ2B9X5N6OUJ1236,DZZ47B9A52ZJ6LT6VV95,EV2XZWMLLXF2QRX0CD47,F0HUI1NY1AZMJMD8LP67,F3JS33DEI6XQ4ZBPTN86,FR9695005MSX1OYEMGDF,FR969500TJ5KRTCJQWXH,H0YX5LBGKDVOWCXBZ594,J48C8PCSJVUBR8KCW529,J4CP7MHCXR8DAQMKIL78,JEUVK5RWVJEN8W0C9M24,JU1U6S0DG9YLT7N8ZV32,K8MS7FD7N5Z2WQ51AZ71,LIU16F6VZJSD6UKHD557,LOO0AWXR8GF142JCO404,M312WZV08Y7LYUC71685,M6AD1Y1KW32H8THQ6F76,MAES062Z21O4RZ2U7M96,N1FBEDJ5J41VKZLO2475,N747OI7JINV7RUUH6190,NHBDILHZTYCNBV5UYZ31,NNVPP80YIZGEY2314M97,O2RNE8IBXP4R0TD8PU41,P4GTT6GF1W40CVIMFR43,PSNL19R2RXX5U3QWHI44,R0MUWSFPU8MPRO8K5P83,SI5RG2M0WQQLZCXKRM20,TO822O0VT80V06K0FH57,TUKDD90GPC79G1KOE162,VDYMYTQGZZ6DU0912C88,VWMYAEQSTOPNV0SUGU82
0W2PZJM8XOY22M4GG883,0.9999999999999999,0.20833566953970525,0.7780894974002238,0.3865200236999878,0.409150105616044,0.7438264746080201,0.5372208827929502,0.5240993903229345,0.9438391888289425,0.28826763289648505,0.9715476018432468,0.4982360183636412,0.9537823868164261,0.04499266708840328,0.795078617545993,0.9480061254629529,0.9513985200952182,0.9444734874403803,0.9670678951390265,0.9517813610371753,0.8651902862100744,0.9527344886316895,0.5181551602396788,0.9219989281214057,0.08216133891863144,0.9440910122532487,0.10865919443669994,0.37833779259137285,0.7914979276117354,0.37035776380606933,0.2744234714832809,0.49906308288279866,0.4583442560541265,0.43183921153346805,0.24182050435725552,0.14740841307735222,0.9204110869926703,0.18575643788712495,0.42863882567241507,0.827427775950464,0.271163584780053,0.2614919625626051,0.5560829874118386,0.19888396709694683,0.9340525419937556,0.12113537680631557,0.8280312457926188,0.5486972617855552,0.3086179219979115,0.3370235071531748,0.8035567126230302,0.8162062236919223,0.5109160669639725,0.5384059004649395,0.317876268739338,0.939865582800925,0.4416718502204335,0.6101298232709818,0.841652609811092,0.8819496981055823,0.19102842177113905,0.27328907093571386,0.4402316508379757,0.20977853298449115,0.03755001201796159,0.8546899594714169,0.9512381912690248,0.7640502758139033,0.8539752020912811,0.5664985746421112,0.5149961984402849,0.9124254700436547,0.9244943540021298,0.4955338433661165,0.26873857866089074,0.9766525329112311,0.9244132764764853,0.9455185095318362,0.9731509621689007,0.4502403256073163,0.8748109483881232,0.8949797557701203,0.7083788231981755,0.9462749691464244,0.4104738384337012,0.30065562212229396,0.44002859805166317,0.36404326668135534,0.29209113371294154,0.9596066123778622,0.34695882887163515,0.9584318315423365,0.33783666803676915,0.9015280777432106,0.2644280366293044,0.29081247472866256,0.9482313707690095,0.3813338171395375,0.5300062114147207,0.32070685720231634,0.3878182069894447,0.5017871639291129,0.4775473990256832,0.5990909216593582,0.9168229049746984,0.9695767755847068,0.5132757710751338
2138008AVF4W7FMW8W87,0.20833566953970525,1.0,0.7087254335976049,0.6607585246204719,0.8729035111518662,0.4130696933893214,0.8086360001836118,0.839342056684161,0.15548078842999474,0.8478532333996038,0.19909334640522133,0.8540851526634876,0.3350565986308881,0.33119500522054884,0.2225355497514307,0.15452593979036577,0.1538669463716047,0.4187378469300545,0.35954050231455675,0.2632984344022939,0.5915646424245611,0.25805501008134685,0.5787076540300152,0.4066545979378351,0.5889844668404787,0.28589244751783277,0.6014594342795794,0.8930612147936607,0.5963811613012219,0.8442899791379069,0.8737409342649557,0.8249299909215948,0.7844966664133218,0.8059734756068216,0.7629380251663825,0.1088823591318248,0.4345984521570819,0.5861477756688345,0.7522810991903346,0.5956070405604574,0.09488079900239707,0.24176021192374167,0.7613180743465647,0.890509926122353,0.39928384671053946,0.8535537750796116,0.6564492043370269,0.799827484769678,0.6430104753532956,0.6209105204095273,0.5770546355962681,0.5993844909789079,0.6322355533534497,0.25699861156663323,0.5096066500018432,0.46932310821071066,0.7837143722306394,0.46472598571562684,0.5064818031324577,0.4741248588888476,0.8196462458183188,0.8627616649252703,0.7691507701665952,0.8634615937440544,0.5151851777722134,0.45910098058046656,0.2992111076866149,0.543210125816019,0.4588742431926058,0.769483341921413,0.6667925394752918,0.3949198494897512,0.4231134926855946,0.4943009478449237,0.8586205335707757,0.31417625510179553,0.34655784189331007,0.15123054266241795,0.17340270754320952,0.6358142445229259,0.48166825543723013,0.4515680454913333,0.7495097458157837,0.15185006272278678,0.8580338900052648,0.8808812513377335,0.7057375336635008,0.8630537573422689,0.8479343609658629,0.31456907787705585,0.9152692702321684,0.30672897915209885,0.7536885578100097,0.49888699267237313,0.7290555865539053,0.8540758921016122,0.22021009419965748,0.924578086534572,0.6786486123395535,0.8297970143126429,0.5968508353930776,0.8196780059378203,0.7917857124121404,0.8206963081809372,0.2568820893580672,0.2997269654743184,0.8066949560675045
2138009Y59EAR7H1UO97,0.7780894974002238,0.7087254335976049,1.0,0.6923249934737795,0.7901553417221359,0.6975403617221928,0.8579327435073782,0.8221071214457428,0.6799139519189269,0.689686077908636,0.7423015539930582,0.865464649484595,0.8161845588374111,0.24656251778817892,0.7091069980437374,0.6868658887304069,0.6844429260848713,0.8452028690771286,0.8278227462842807,0.7735005051669791,0.8958849962282129,0.7530740070021069,0.7157278127813085,0.8183252596826007,0.5179905548976256,0.7742040662371935,0.384860621775736,0.7984381612136706,0.8702747020828212,0.7475576676807386,0.7029713767210871,0.8235461161256818,0.8104260041843108,0.7697617926849315,0.6047794786942946,0.16387984978850945,0.8492022036130911,0.35915892580484104,0.8187841248277183,0.9424707519846277,0.3716708607856918,0.4343784760932515,0.8340736556515059,0.6683090829239046,0.8567624811036906,0.6807021253589752,0.9411361917445256,0.8264559913103985,0.570634993612601,0.6472999181447312,0.8615305503935634,0.8910781009126679,0.7464414593533827,0.5280623188796079,0.5650825008584343,0.8924119217404614,0.7731217697160925,0.6618003488964445,0.8616101085994348,0.8900832448794777,0.5689568894228677,0.643492201118524,0.6990931937249641,0.6745031472196994,0.44312981372480176,0.8567561451993475,0.8101459643696027,0.8374483508173168,0.802032266106404,0.8575831922158554,0.7769014563039829,0.8158455584648593,0.8338386542490981,0.6819431223539647,0.7363949743826826,0.8030251056984813,0.8235789763106104,0.6807026426883085,0.7171021906915428,0.7218813160495793,0.8615715103028122,0.8635727927706099,0.9353743235105668,0.6826599490936059,0.7559379418595851,0.6874976415004918,0.7579926445009237,0.7651244929335295,0.6813453683727331,0.7937397660952475,0.7300548908575537,0.7913090230123488,0.6943630677245888,0.8737882228633131,0.5499674841715391,0.6669272861849058,0.7233473337858456,0.7637670425232329,0.7734478646385825,0.7032296751755469,0.6333614795032013,0.8268513727923155,0.7909277800343995,0.8932809826708807,0.8133516297515283,0.7927590347996163,0.8520914977987012
213800DBQIB6VBNU5C64,0.3865200236999878,0.6607585246204719,0.6923249934737795,1.0000000000000004,0.8445439968051955,0.3512041853927074,0.7607678220555782,0.794845963530507,0.22583629186567084,0.8037411188724006,0.29255764411567936,0.7791383113090999,0.3778420833578266,0.3058044895680778,0.29655647091825976,0.22251351278812237,0.21774325288873353,0.5140083481184443,0.4345538164974967,0.31312565131562803,0.5959762532707928,0.3014651792640328,0.7630671901569208,0.473731476104263,0.5254128922725603,0.326497297583196,0.5059385705595433,0.8357974710005429,0.5917145362873524,0.7892898466555897,0.8406440166840263,0.8465635811057326,0.7523091765908901,0.7465625146749473,0.6493604355625648,0.137686333141157,0.3929496362544296,0.6139282990021947,0.5017575004844341,0.6272547500427844,0.6120517732033669,0.2557093393416515,0.8341804006777953,0.7327558713362908,0.44700257096080265,0.7436060788743679,0.6818650008405444,0.7575985415925637,0.6493382399746263,0.9801208825536726,0.7551978076466145,0.5926105716138839,0.7986441166307114,0.4844321928692469,0.6367866643417193,0.5444164597626323,0.8421802857154818,0.485677186464936,0.49446829556065447,0.4535751488024836,0.6881783710816212,0.7269283305257015,0.773737025592223,0.755889269080374,0.4529976632177657,0.4666265959249588,0.39293589872079443,0.6584976629402067,0.39748439719336587,0.7543816702162918,0.6115423366574587,0.44487279478916025,0.4780258031853085,0.553506367583976,0.5348456139854928,0.43196681921817903,0.5352438926353061,0.21193074280669488,0.2593715940548836,0.6792275031794527,0.5911567423953913,0.49872883506820825,0.7333648085362703,0.21646006188641856,0.7638095558114907,0.746431669806085,0.9860558685096463,0.8197786195716092,0.8348912337772226,0.36947602905142163,0.7735638292031939,0.3550018201303371,0.9793383098271115,0.5339394739543859,0.6647927831410829,0.7449909301751684,0.26884766812822086,0.7447891360659823,0.7939531943069011,0.8051535984753853,0.613618235938211,0.7787689746063586,0.8482461869146924,0.8348084367178141,0.5580020487778861,0.46987952129943017,0.7773036730498387
213800HDJ876ACJXXD05,0.409150105616044,0.8729035111518662,0.7901553417221359,0.8445439968051955,0.9999999999999997,0.4853977359241342,0.9322027335034752,0.9407739177968425,0.3249634177900429,0.9540123399954094,0.386156780667262,0.9451101795608684,0.5035175007262396,0.3773008298417774,0.3879437596481831,0.3260185050000133,0.3244019469898245,0.6144877988299746,0.5385654328116498,0.4474070969321615,0.7403154978693245,0.4291439886540987,0.7218529776869931,0.5876357959578101,0.7218895414059225,0.4673409722484349,0.6836601071737015,0.9799229387252151,0.764008086008734,0.9734630759089036,0.9765936630142134,0.9437605032274693,0.9392854580722242,0.8340033172710911,0.8694821594432015,0.1294990104633919,0.5495158428136933,0.6259215005833433,0.6826706621014117,0.7225115709483236,0.29507874024314595,0.359887358547695,0.9521495251841904,0.937212951496206,0.5421030353225486,0.8656881819665379,0.8141608659739908,0.9503173881152056,0.7157880820761044,0.8106341130699862,0.7428752195602272,0.722199721109728,0.7866420952288543,0.3916318506896221,0.6594675091293327,0.6519541718406601,0.9115931836567601,0.6205202596736743,0.6761823620139297,0.5470261849052203,0.894498421440711,0.9208360737414893,0.9030005243913694,0.8775936401891157,0.6426129681702824,0.6028300200451617,0.49827463717852044,0.7400488871672025,0.579179099670057,0.9373111370159362,0.7853579743946627,0.5525317110835251,0.6199241363433025,0.5993130255055779,0.6768967833512635,0.5170140480867761,0.5374438718140465,0.3212051153254219,0.3498044761642447,0.8048876059760667,0.6864019176657797,0.6361395735774187,0.8626861982523825,0.32328387606110487,0.9624130454000984,0.9519131918587312,0.8975617898717303,0.9791881088718333,0.957700871327754,0.49168187534783514,0.9476473548821478,0.4821819896934217,0.8837027467210611,0.6767440197549113,0.8437897327856382,0.9314785008539841,0.38814759691012557,0.9580100176537126,0.8669647762165416,0.9532622072650607,0.7372097661770691,0.9617752770475267,0.9304381837294701,0.9577596455235023,0.4996359212924579,0.480818974787916,0.9423762004577863
213800TC9PZRBHMJW403,0.7438264746080201,0.4130696933893214,0.6975403617221928,0.3512041853927074,0.4853977359241342,1.0,0.569116718456255,0.6511526502717371,0.7841096343292256,0.3471499074560222,0.7917059385499876,0.526329304566722,0.7878893853790465,0.10482792854046621,0.6477236361118872,0.7710730179934164,0.7744551218455791,0.7503896709362664,0.8159158803271643,0.8198108508821788,0.7500547225528126,0.8231248737621463,0.6889725035372638,0.7956925798270822,0.15171100972946666,0.8152109168346062,0.20558641582580836,0.4232379619727257,0.7766784239567427,0.40997294734190487,0.35426256858582567,0.5685574513422018,0.4808136699070742,0.5181551752740232,0.31749182567125256,0.16811623656968674,0.8713015114181625,0.059069542942612345,0.643547230065954,0.7822785506262134,0.10722747560301889,0.34496609033136066,0.4542111331348845,0.35361539720535584,0.8518443182925218,0.2853774392970428,0.77647608478633,0.5506406889159252,0.42692566243016244,0.23171203645999516,0.6868931009232915,0.6972091807937716,0.679467379001139,0.34338648336536237,0.20128579076712572,0.7815319130962222,0.49946191046448835,0.5557621242964985,0.856580603273172,0.8014352342880936,0.21750161048508868,0.36376531660103356,0.3576557169438017,0.290396319466681,0.10402216035673532,0.7947210110227537,0.8251123057213685,0.687260410444167,0.9199831586669328,0.5407677540331831,0.6569770151838906,0.8963312119005634,0.7686705198187084,0.45660770587699784,0.25653230978940444,0.7552012733370592,0.6596352658836688,0.7747502208372488,0.7794923609272911,0.3864541986713895,0.711229398191544,0.8124756553144218,0.626723677386748,0.7754095692767289,0.48992087926694095,0.38082876827938394,0.4067343884704765,0.4796659378805861,0.3099150766016573,0.785956892055056,0.5231066709927307,0.800107572420687,0.3673488520161172,0.7604452635416165,0.2281367282180633,0.3664953738758715,0.8077591838363138,0.5225759061387074,0.44601443712900724,0.3064692809739065,0.38751087893036645,0.5026499752946846,0.515717779795935,0.6485504315748102,0.7188269926643234,0.7101004137164355,0.6016519895239032
213800X3Q9LSAKRUWY91,0.5372208827929502,0.8086360001836118,0.8579327435073782,0.7607678220555782,0.9322027335034752,0.569116718456255,1.0,0.9584449725458072,0.45767135379227714,0.923437183215908,0.5349744421849676,0.9709805520827921,0.6402633836408699,0.4102646769067512,0.5768523847258863,0.47804971788627343,0.46309338983040554,0.7206907172991937,0.6598811524367083,0.5859455178949788,0.8308216622715499,0.5651228293191097,0.7162665233123579,0.7141219842950414,0.6717051917581234,0.6098187738401166,0.6105714704862765,0.9381415791159469,0.8658505853396093,0.9416275232977812,0.9016492037758289,0.9603380752204018,0.9291256197609075,0.874443945212033,0.8366054136187266,0.23081890676919511,0.6630190024352004,0.5573468125692549,0.7974068164603454,0.8242206158122102,0.25725464117989466,0.5243013928319602,0.9322074542739981,0.9027688257559681,0.6655997093991978,0.8340971896948447,0.8923362084926004,0.9661593388444856,0.7794722181322632,0.7215088726434852,0.7880470543733369,0.8175740033248503,0.76816160065424,0.5088358682753341,0.7039890049201902,0.7648053011834334,0.9338843676351045,0.7705740045420009,0.8029852939435356,0.660965041318701,0.8321628886094861,0.8806603246375214,0.8820373319783685,0.8750268456569279,0.5814939292272285,0.7768790810883349,0.6452287386193053,0.8571642292884043,0.7006074119440502,0.9659392764498019,0.919483242113431,0.6558715394875444,0.7397101044070805,0.7326065241902764,0.6833299003464867,0.639472418837302,0.6417526424919062,0.46024477358094074,0.4996921871591218,0.8620334822629199,0.8119015625074538,0.7779597685130314,0.932269154581583,0.4599783075537586,0.9484568766508349,0.909573599634328,0.8255822080546563,0.9369688697726856,0.9003701957103974,0.6102395612357558,0.8917611893308932,0.608125432998429,0.8029015082624799,0.789785948578382,0.8133450271686278,0.9017975881719507,0.5270940436972261,0.920881567215401,0.893619817992394,0.8995984135579227,0.8322540826986553,0.9746226593051143,0.9393587517379497,0.971038013132164,0.6158018655958609,0.5957219247023386,0.9640913345220005
222100K6QL2V4MLHWQ08,0.5240993903229345,0.839342056684161,0.8221071214457428,0.794845963530507,0.9407739177968425,0.6511526502717371,0.9584449725458072,0.9999999999999999,0.47035467906069184,0.9215765907601623,0.5283735468355973,0.9464284618101758,0.6315216583600501,0.3658971686045892,0.5569829464836877,0.4702651873410045,0.4657498569259982,0.7051746431526092,0.66103051725522,0.5795955859972689,0.8328980224149045,0.5681490145864183,0.7750750836880647,0.708462510964307,0.5744456890598469,0.6073271511718955,0.6474434772883778,0.9228158648995072,0.8711611368467135,0.9337912707528201,0.8994267343560419,0.9692636650792411,0.8873501369342326,0.8682922178915309,0.7998064661198506,0.200381777389139,0.67617803767148,0.592317449730906,0.7640520398807621,0.8053381557539908,0.24617447631302222,0.463034796639572,0.9061939520513725,0.8976519791076439,0.6707367968608571,0.7918555162433949,0.8912632762954819,0.9578740016384483,0.7992341665285048,0.7220810733827238,0.7879338148331525,0.8249293523654629,0.8393260907970587,0.4282184987093664,0.6809341405238073,0.7428884624162289,0.9415571243690838,0.7420601933647153,0.7994716395241112,0.6592925769183706,0.8381683098924251,0.9123360163864714,0.880002266561242,0.8661072842120505,0.47500161555984644,0.7460648392376813,0.6373016591992187,0.8413437805386212,0.7267149281987273,0.9322076218572153,0.8612179765151536,0.6903419558375139,0.7361074012576097,0.6847189489019953,0.6434944930045201,0.6303197631844593,0.6015839797891144,0.4632016503889353,0.49454238664851274,0.8436536221322981,0.7857555229167471,0.7593125192564321,0.9026963166095067,0.46409984706717367,0.9594401000958962,0.9234007048183237,0.837125122485539,0.946651949106173,0.8977957482585106,0.6072673939604074,0.9522315400937421,0.6034767034263839,0.834773557499788,0.7833409987811402,0.8229822095406497,0.9199469893461335,0.5348456733764536,0.955045982689402,0.8530042507601804,0.8953672667290791,0.8096940209970421,0.9560187122602517,0.9419213170392455,0.9771703320352496,0.5974749053100652,0.5732618837775691,0.9517553131348305
254900RNFMDM0P11YR84,0.9438391888289425,0.15548078842999474,0.6799139519189269,0.22583629186567084,0.3249634177900429,0.7841096343292256,0.45767135379227714,0.47035467906069184,1.0,0.189367615550722,0.9869883324631151,0.42061091647570525,0.9696517204800185,0.02585152442232717,0.7542035467448464,0.9942436892960691,0.9973626340612906,0.90534043495117,0.9611839061285494,0.9828230505993115,0.8407466227499841,0.9894012926936808,0.49349182615502235,0.9045210903881906,0.03567504780190365,0.9768576660439109,0.06887860294298798,0.2744297860683438,0.7802769253436509,0.2946748203633865,0.16179082664389008,0.4078448494052818,0.3943348926428338,0.2733107159942195,0.15591624979642657,0.1258494683960465,0.9436836237912452,0.022937856938388734,0.3881791244049474,0.741341719711804,0.1353449028524145,0.2270974858803574,0.43535845125947903,0.12323055673633866,0.9113936694078358,0.02508160914471446,0.757183744232865,0.4880513730707975,0.219942930504897,0.14170690173257902,0.6741574551476652,0.7828452923289438,0.4945569809910198,0.32608373261729584,0.15800685871878473,0.8925734310108372,0.33361645603868206,0.5960338668380855,0.8464634019000705,0.882207311245464,0.14495663812406148,0.21246316693605677,0.323509728436237,0.13752498605821425,0.01211035572228178,0.8554169411287533,0.9548499078621425,0.675812249659144,0.8723121134364561,0.5037434132785197,0.4416166422522852,0.9408999789758464,0.91193339459399,0.42224108233159185,0.21201845177789294,0.9464677296957293,0.7844538474548699,0.9989262510656303,0.9827782191772859,0.3432113390006303,0.8245279648477994,0.8866842442146486,0.6379420110538465,0.9988616898937719,0.3548625343405322,0.24950944493012386,0.29759758121459673,0.3102813073461757,0.18200070987782085,0.9789168726544614,0.3171971195846316,0.9816051521716468,0.17359211586930898,0.8908715635350843,0.19028042869104805,0.22622531095449291,0.9957099729822128,0.3442776138336904,0.41618507859002607,0.21908289548453577,0.28525524540368447,0.42229230221912123,0.37099911294604543,0.5163162166736511,0.833656813087373,0.8758172170839236,0.43579882952356686
2W8N8UU78PMDQKZENC08,0.28826763289648505,0.8478532333996038,0.689686077908636,0.8037411188724006,0.9540123399954094,0.3471499074560222,0.923437183215908,0.9215765907601623,0.189367615550722,0.9999999999999999,0.27128748074576425,0.932580981125827,0.3958799546951025,0.3837740954149414,0.3596261417055196,0.1961551582803256,0.19161406668243844,0.5146931330544271,0.42374942313404623,0.3188898245490196,0.6622808927902479,0.3017634491926172,0.5924891605372513,0.4885539017239231,0.6630437146003004,0.35944833526717046,0.7512451539237951,0.9589415622750888,0.7184232622133887,0.9824363056684581,0.9701901875653366,0.9239130825391746,0.8843573746127578,0.834749487311516,0.8877144486885875,0.14453922275785616,0.4119150901693249,0.7356667661083136,0.6381716175308948,0.6483654732112833,0.222473349837371,0.4676866010538283,0.9261884751110689,0.9515830490301475,0.41255618369086416,0.8732132180497457,0.7311035663798428,0.9442407819866758,0.7640813209275573,0.784231732358971,0.6634743245946358,0.6566490438946473,0.6892951055583326,0.41879666090745477,0.7486276386791316,0.5531888679501468,0.9168823508169639,0.6181328781245903,0.6025653403727211,0.40982392323737565,0.9404419101265715,0.9701552065955334,0.9440170194552454,0.9102105835246276,0.5628431736060886,0.5266656675334803,0.39679001503107747,0.7326267204384045,0.46423851462003357,0.9208462955397845,0.7689665187855806,0.4141927441972657,0.5474516270146136,0.6012566935360356,0.6618904438671217,0.4178518814871538,0.46227334870849623,0.18781072619197334,0.23053529929250838,0.8743057024686284,0.6314939639453417,0.5421980671864528,0.8178145249646198,0.18880180351194736,0.9659747747621981,0.9679940522559322,0.839202774601064,0.9433744553353788,0.9758278471087912,0.3677105179420707,0.9220258826006503,0.3572299081906963,0.8501815911372286,0.6023919525550007,0.9337944017475728,0.9792564544717866,0.26058181493229843,0.9355088584671298,0.8428466738772492,0.9723828909119003,0.860735900713404,0.9529879029585132,0.9180017847766552,0.9031758355883893,0.40251302557205015,0.381434117780622,0.9176995482289853
