LEI_Code,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0W2PZJM8XOY22M4GG883,94.22468934,136.89302508,592.56442758,5050.56903954,1339.32142112,415.56049748,51.82711008,2359.97021913,0.02975362,74.19913954,0.0,18353.55314853,473.37738058,2624.48718702,0.0,0.0,114.78126542,0.0,0.0
2138008AVF4W7FMW8W87,1501.2163126907544,142.2140970759082,2071.206072265432,310.0468898296722,88.0254590922516,1451.361777690262,1434.8878405040848,216.42161504381028,511.8671804666724,211.7026247907844,77.07072206360148,499.4916865216094,102.85564083883035,77.60659407305289,3.00177178300676,5.33831288766366,80.21091660923484,15.134221522102962,28.835367529782317
2138009Y59EAR7H1UO97,457.46546526,12.96333506,342.74690918,314.01400632,30.540923499999998,312.90341128,496.10165428000005,357.32433958,63.710917460000005,44.79502754000001,0.61841332,930.26067788,198.99490235999997,266.88068992,0.26223364,10.24973664,44.22644798,42.541852240000004,11.80877634
213800DBQIB6VBNU5C64,367.20081,54.010836,8337.186196999999,6498.775112,87.181194,1849.0802680000002,6815.882914,10015.292586,6433.973098,759.756108,581.861342,3746.074908,1028.7078099999999,941.67039,1.6927439999999998,161.44797999999997,303.70081600000003,158.41470399999997,503.889952
213800HDJ876ACJXXD05,181.4574927,259.29574138,1535.74851762,410.41364604,40.680323539999996,721.0004765199999,1418.2112972,600.45716036,347.95664346,332.21804478,67.05212728,810.24559838,219.65161026,137.50926700000002,0.25895145999999997,16.78566928,30.297008260000002,69.6448853,20.830858980000002
213800TC9PZRBHMJW403,0.0,0.0,14.49347744,0.0,0.0,172.9227338,10.35363574,0.0,92.62753522,2.28204148,11.49086612,266.80636747999995,46.36713913999999,0.0,0.0,0.0,0.0,86.31505548,0.0
213800X3Q9LSAKRUWY91,6395.513742,320.614244,32643.939056000003,8694.01066,3057.6132399999997,15103.56952,29614.474822,11108.3323,2880.549216,3893.5020379999996,9595.574031999979,27746.765132,15397.835879999999,6309.77312,165.445498,375.991134,10559.345114,1361.270704,4994.839962
222100K6QL2V4MLHWQ08,598.51777982,135.59735508,5212.885798019999,701.63593898,387.57024398,2719.2625737999997,3169.2295840200004,1495.5013020400002,2021.0698916400002,520.09602924,1167.88511492,3916.9438641799998,1688.87676457,798.37483514,0.08945482,161.379716,488.80654891999995,229.87945724,396.70728737999997
254900RNFMDM0P11YR84,0.0,0.0,0.0,0.0,2.85994298,160.0,0.0,0.0,2801.58698266,0.05,0.0,60889.49208816,98.4917064,0.0,0.0,0.0,0.0,2e-08,38.5747863
2W8N8UU78PMDQKZENC08,7722.626456,4367.787182,92319.388668,21558.080030999998,4787.0002110000005,24295.4253209999,59477.286156,22858.026837,11556.065461000002,17834.788692000002,12491.006528,23305.1662459999,30885.789478,9512.401440999998,3.105324,557.353914,4492.279044,1360.996924,2854.297423
